1,,,,BD+44 4550,3,36042,,,,,,4,6,,0,0,1.1,N,44,40,22,0,5,9.9,N,45,13,45,114.44,-16.88,6.7,,,0.07,,0.08,,,,  A1Vn,,-0.012,-0.018,,,-18,,195,,4.2,21.6,AC,3
2,,,,BD-01 4525,6,128569,,,,,,,,,23,59,56.2,S,1,3,30,0,5,3.8,S,0,30,11,98.33,-61.14,6.29,,,1.1,,1.02,,,, gG9,,0.045,-0.06,,,14,V,,,,,,
3,33,,Psc,BD-06 6357,28,128572,1002,I,,,,,,Var?,0,0,13,S,6,16,1,0,5,20.1,S,5,42,27,93.75,-65.93,4.61,,,1.04,,0.89,,0.54,,  K0IIIbCN-0.5,,-0.009,0.089,,0.014,-6,SB1O <,17,,2.5,0,, 3*
4,86,,Peg,BD+12 5063,87,91701,2004,,,,,,,,0,0,33.8,N,12,50,23,0,5,42,N,13,23,46,106.19,-47.98,5.51,,,0.9,,,,,,  G5III,,0.045,-0.012,,,-2,V?,,,,,,
5,,,,BD+57 2865,123,21085,,,,,,6,1,V640 Cas,0,1,1.8,N,57,52,45,0,6,16,N,58,26,12,117.03,-3.92,5.96,,,0.67,,0.2,,,,  G5V,,0.263,0.03,,0.047,-12,V,,,0.8,1.4,,  *
6,,,,CD-4914337,142,214963,,,,W,,,,,0,1,8.4,S,49,37,51,0,6,19,S,49,4,30,321.61,-66.38,5.7,,,0.52,,0.05,,,,  G1IV,,0.565,-0.038,,0.05,3,SB,,,5.7,5.4,,  *
7,10,,Cas,BD+63 2107,144,10978,2005,,,,,,,,0,1,14.4,N,63,38,22,0,6,26.5,N,64,11,46,118.06,1.75,5.59,,,-0.03,,-0.19,,,,  B9III,e,0.008,0,,,0,V,153,,,,,  *
8,,,,BD+28 4704,166,73743,,,,,,6,9,33,0,1,25.2,N,28,28,11,0,6,36.8,N,29,1,17,111.26,-32.83,6.13,,,0.75,,0.33,,,,  K0V,,0.38,-0.182,,0.067,-8,V,,,2.6,158.6,AB, 4*
9,,,,CD-23    4,203,166053,1003,,,,,,,,0,1,43,S,23,39,47,0,6,50.1,S,23,6,27,52.21,-79.14,6.18,,,0.38,,0.05,,,,  A7V,,0.1,-0.045,,,3,V,,,,,,
10,,,,BD-18 6428,256,147090,,,,,,,,,0,2,11.8,S,17,56,39,0,7,18.2,S,17,23,11,74.36,-75.9,6.19,,,0.14,,0.1,,,,  A6Vn,,-0.018,0.036,,,-9,V?,195,,,,,  *
11,,,,BD-03    2,315,128595,,,,,,,,Var?,0,2,36.7,S,3,6,20,0,7,44.1,S,2,32,56,98.02,-63.29,6.43,,,-0.14,,-0.47,,,,  B8IIIpSi,,0.027,-0.002,,,13,,,,,,,  *
12,,,,CD-23   13,319,166066,,,,,,8,9,46,0,2,40.3,S,23,3,52,0,7,46.8,S,22,30,32,55.56,-79.07,5.94,,,0.14,,0.06,,,,  A2Vp:,,0.052,-0.044,,,-13,V,,,5.1,1.9,,  *
13,,,,CD-34   17,344,192367,,,,,,,,,0,2,58.6,S,34,5,10,0,8,3.5,S,33,31,46,355.91,-78.67,5.68,,,1.12,,,,,,  K1III,,-0.037,0,,,7,,,,,,,
14,,,,BD-03    3,352,128602,2006,I,,,,,,AP Psc,0,3,4.8,S,3,0,15,0,8,12.1,S,2,26,52,98.34,-63.24,6.07,,,1.38,,1.14,,,,  K2III+F,,0.009,-0.003,,,1,SB1O,22,,2,0,,  *
15,21,Alp,And,BD+28    4,358,73765,1,I,,,,9,4,Alp And,0,3,13,N,28,32,18,0,8,23.3,N,29,5,26,111.73,-32.84,2.06,,,-0.11,,-0.46,,-0.1,,  B8IVpMnHg,v,0.136,-0.163,,0.032,-12,SBO,56,,8.5,81.5,,  *
16,,,,BD-09    5,360,128604,,,,,,,,,0,3,10.9,S,9,22,47,0,8,17.4,S,8,49,26,91.79,-69.04,5.99,,,1.04,,0.83,,,, gG8,,-0.052,-0.033,,,20,,,,,,,
17,,,,BD+35    8,400,53677,,,,,,,,,0,3,31.9,N,36,4,26,0,8,41,N,36,37,36,113.45,-25.45,6.19,,,0.48,,-0.09,,,,  F8IV,,-0.1,-0.145,,0.044,-14,    =<,6,,,,,
18,,,,BD-18    3,402,147103,,I,,,,,,51,0,3,27.1,S,18,8,1,0,8,33.4,S,17,34,39,74.69,-76.25,6.06,,,1.67,,1.97,,,,  M0III,,0,-0.025,,,-17,V?,,,,,,  *
19,,,,BD+24    3,417,73769,,,,,,,,,0,3,42.2,N,24,54,19,0,8,52.2,N,25,27,46,110.97,-36.42,6.23,,,0.97,,0.73,,,,  K0III,,0.114,0.031,,,15,,,,,,,
20,,,,BD+78    1,431,4048,,,,,,10,2,,0,3,48.5,N,79,9,33,0,9,20.2,N,79,42,53,120.98,17,6.01,,,0.19,,0.1,,,,  A7IV,,0.102,-0.027,,0.002,1,,90,,0.2,0.6,,  *
21,11,Bet,Cas,BD+58    3,432,21133,2,I,,,,10,7,Bet Cas,0,3,50.2,N,58,35,54,0,9,10.7,N,59,8,59,117.52,-3.27,2.27,,,0.34,,0.11,,0.2,,  F2III-IV,,0.525,-0.181,,0.072,12,SB,70,,11.3,31.3,,  *
22,87,,Peg,BD+17    7,448,91734,,,,,,,,,0,3,52.8,N,17,39,22,0,9,2.4,N,18,12,43,108.99,-43.51,5.53,,,1.04,,,,,,  G9III,,0.137,-0.024,,,-23,V?,,,,,,
23,,,,CP-54   19,469,231943,,,,W,,,,,0,3,59.7,S,54,33,33,0,9,2.4,S,54,0,7,316.25,-62.02,6.33,,,0.74,,0.39,,,,  G4IV,,0.051,0.016,D,0.009,1,SB,,,1.3,0.2,,  *
24,,Kap1,Scl,CD-28   16,493,166083,,,,,,11,1,,0,4,15.2,S,28,32,40,0,9,21,S,27,59,16,25.24,-80.63,5.42,,,0.42,,0.08,,,,  F2V,,0.072,-0.004,,0.023,9,,131,,0.2,1.4,AB, 3*
25,,Eps,Phe,CD-46   18,496,214983,3,,,,,,,,0,4,20.2,S,46,17,57,0,9,24.7,S,45,44,51,324.34,-69.6,3.88,,,1.03,,0.84,,0.52,,  K0III,,0.124,-0.181,,0.066,-9,,,,,,,
26,34,,Psc,BD+10    8,560,91750,,,,,,12,2,,0,4,53.8,N,10,35,21,0,10,2.3,N,11,8,44,106.87,-50.43,5.51,,,-0.07,,-0.24,,,,  B9Vn,e,0.041,-0.003,D,0.017,14,V,275,,4.4,7.7,,  *
27,22,,And,BD+45   17,571,36123,4,,,,,,,,0,5,7.2,N,45,30,57,0,10,19.3,N,46,4,20,115.52,-16.21,5.03,,,0.4,,0.25,,0.29,,  F2II,,0.008,0,,-0.002,-5,,47,,,,,  *
28,,,,BD+56   11,584,21162,,,,,,,,,0,5,15,N,56,36,32,0,10,29.7,N,57,9,56,117.38,-5.26,6.74,,,-0.08,,-0.41,,,,  B7IV,,0.023,0.006,,,2,,,,,,,
29,,,,BD-06   11,587,128621,,,,D,,,,,0,5,11.6,S,5,48,15,0,10,18.8,S,5,14,55,96.99,-66.03,5.84,,,0.98,,0.74,,,,  K1III,,0.036,-0.033,,,24,,,,,,,  *
30,,Gam3,Oct,CP-82    4,636,258215,3971,,,,,,,,0,5,30.4,S,82,46,48,0,10,2.1,S,82,13,26,304.63,-34.77,5.28,,,1.05,,0.92,,,,  G8III,,-0.029,-0.02,,,15,,,,,,,
31,,,,BD-13   13,645,147127,2008,,,,,,,,0,5,35.5,S,13,8,7,0,10,42.8,S,12,34,48,87.69,-72.6,5.85,,,1.01,,0.8,,,,  K0IV,,0.15,-0.038,,,6,V?,,,,,,
32,,,,CP-73    4,661,255642,,,,W,,,,,0,5,44.4,S,73,46,53,0,10,38.6,S,73,13,28,306.98,-43.58,6.64,,,0.37,,0.06,,,,  F2V+F6V,,0.123,0.016,,,-14,,,,1.1,0.5,AB, 3*
33,6,,Cet,BD-16   17,693,147133,,,,,,,,,0,6,10.5,S,16,1,1,0,11,15.9,S,15,28,5,82.24,-75.06,4.89,,,0.49,,-0.03,,,,  F7V,,-0.077,-0.268,,0.067,14,V?,0,,,,,
34,,Kap2,Scl,CD-28   26,720,166103,5,I,,W,,,,,0,6,29.8,S,28,21,24,0,11,34.4,S,27,47,59,26.3,-81.13,5.41,,,1.34,,1.46,,,,  K5III,,0.01,0.016,,,-6,,,,13.8,46,,
35,,The,Scl,CD-35   42,739,192388,6,,,,,,,,0,6,39,S,35,41,34,0,11,44,S,35,7,59,347.16,-78.34,5.25,,,0.44,,,,,,  F4V,,0.173,0.119,,0.034,-2,,0,,,,,
36,,,,BD+47   21,743,36148,,I,,,,,,,0,6,45.1,N,47,35,45,0,11,59.1,N,48,9,9,116.16,-14.2,6.16,,,1.45,,,,,, gK4,,0.058,0.017,,,16,,,,,,,
37,,,,BD-18   14,787,147144,,I,,,,,,,0,7,4,S,18,29,38,0,12,10,S,17,56,18,76.32,-77.1,5.25,,,1.48,,1.63,,,,  K5III,,0.056,-0.031,,-0.015,-8,V    <,19,:,,,,
38,,,,BD+36   12,829,53725,,,,,,,,,0,7,38.2,N,37,8,15,0,12,50.4,N,37,41,36,114.55,-24.55,6.73,,,-0.13,,-0.7,,,,  B2V,,0.028,-0.012,,,-10,,,,,,,  *
39,88,Gam,Peg,BD+14   14,886,91781,7,I,',W,,,,Gam Peg,0,8,5.1,N,14,37,40,0,13,14.2,N,15,11,1,109.43,-46.68,2.83,,,-0.23,,-0.87,,-0.19,,  B2IV,,0.003,-0.012,,-0.002,4,SBO,3,,8.9,163.4,AB, 3*
40,,,,BD+26   13,895,73823,,,,,,16,1,,0,8,13.4,N,26,25,56,0,13,24,N,26,59,14,112.56,-35.12,6.3,,,0.65,,0.33,,,,  G0III,,-0.008,-0.047,D,0.006,-13,,,,1.1,0.1,AB, 3*
41,23,,And,BD+40   29,905,36173,2010,,,,,,,,0,8,19,N,40,29,0,0,13,30.8,N,41,2,7,115.27,-21.27,5.72,,,0.31,,-0.02,,,,  F0IV,,-0.123,-0.148,,0.024,-29,,25,,,,,
42,,,,CD-26   56,942,166130,,I,,,,,,96,0,8,37.8,S,26,34,35,0,13,42.1,S,26,1,19,38.28,-81.49,5.94,,,1.55,,,,,,  K5III,,0.026,-0.069,,,-30,V,,,,,,
43,,,,CD-26   57,943,166131,,I,,,,,,,0,8,40.2,S,26,50,29,0,13,44.2,S,26,17,5,36.52,-81.54,6.31,,,1.48,,1.65,,,,  K5III,,-0.02,0.012,,,18,V,,,,,,
44,,,,BD+32   21,952,53744,2012,,,,,,,,0,8,50.6,N,32,39,1,0,14,2.3,N,33,12,22,113.99,-29.02,6.25,,,-0.01,,-0.05,,,,  A1V,,-0.006,-0.018,,,1,,56,,,,,
45,89,Chi,Peg,BD+19   27,1013,91792,1004,I,,,,,,99,0,9,25.6,N,19,39,2,0,14,36.2,N,20,12,24,111.3,-41.83,4.8,,,1.57,,1.93,,1.13,,  M2+III,e,0.093,0,,0.015,-46,V,,,,,,  *
46,,,,BD-08   26,1014,128655,,I,,,,18,0,AD Cet,0,9,20.8,S,8,20,13,0,14,27.6,S,7,46,50,96.87,-68.76,5.12,,,1.62,,1.81,,1.03,E,  M3+III,,0.059,0.004,,0.003,-2,V?,,,6,3,,  *
47,,,,CP-85    2,1032,258217,3972,,,,,,,,0,9,32.1,S,85,33,2,0,13,19.4,S,84,59,39,303.91,-32.06,5.77,,,1.72,,2.1,,,,  M0-1III,,0.004,0.008,,,4,,,,,,,
48,7,,Cet,BD-19   21,1038,147169,,I,,,,,,AE Cet,0,9,33.7,S,19,29,13,0,14,38.4,S,18,55,58,75.11,-78.23,4.44,,,1.66,,1.99,,1.14,,  M3III,e,-0.024,-0.067,,0.029,-23,,,,,,,  *
49,,,,BD+21   13,1048,73838,,,,,,,,,0,9,45.3,N,21,43,43,0,14,56.1,N,22,17,3,111.92,-39.81,6.24,,,-0.01,,0.12,,,,  A1pSi,,0.065,-0.011,,,-15,,,,,,,  *
50,35,,Psc,BD+08   19,1061,109087,,,,,,19,1,UU Psc,0,9,49.7,N,8,15,56,0,14,58.8,N,8,49,15,107.86,-52.98,5.79,,,0.31,,0.04,,,,  F0IV,,0.097,-0.028,D,0.017,1,SB2O,86,,0,0, A, 3*
51,,,,BD-10   30,1064,128660,,,,,,,,,0,9,48.2,S,10,7,31,0,14,54.5,S,9,34,11,95.06,-70.44,5.75,,,-0.08,,,,,,  B9V,,0.028,-0.011,,,17,V?,,,,,,
52,,,,BD+30   26,1075,53755,,I,,,,,,,0,9,54.9,N,30,58,48,0,15,7,N,31,32,9,113.93,-30.7,6.45,R,,,,,,,,  K5,,0.035,-0.005,,,2,,,,,,,
53,,,,BD+26   23,1083,73842,,,,W,,,,,0,9,59.3,N,26,43,40,0,15,10.6,N,27,16,59,113.1,-34.9,6.35,,,-0.02,,0.02,,,,  A1Vn,,0.021,-0.031,,,-4,SB,230,,6.8,29.2,,  *
54,,,,CD-35   65,1089,192418,,,,,,,,,0,9,55.3,S,35,27,36,0,14,58.2,S,34,54,16,345.8,-78.99,6.17,,,1.34,,,,,,  K3III,,0.073,-0.023,,,-52,,,,,,,
55,,,,BD+76    5,1141,4071,,,,,,20,7,,0,10,33.1,N,76,23,42,0,16,14,N,76,57,3,120.89,14.22,6.35,,,-0.07,,-0.26,,,,  B8Vnn,,0.018,-0.002,D,0.013,-7,V,,,0.3,0.8,,  *
56,,,,BD+42   41,1185,36221,,,,,,21,5,,0,11,6.2,N,43,2,24,0,16,21.6,N,43,35,41,116.23,-18.82,6.15,,,0.05,,0.03,,,,  A2VpSi,,0.043,-0.03,,,2,,100,,3.9,9.2,,  *
57,,,,CD-32   72,1187,192430,2014,I,,W,,,,,0,11,5.4,S,32,0,6,0,16,8.9,S,31,26,47,1.53,-81.18,5.67,,,1.35,,1.5,,,,  K5III,,0.122,-0.03,,,26,,,,9.9,64,,  *
58,,,,CP-76   19,1221,255650,,,,,,,,,0,11,20.4,S,76,28,3,0,15,55.2,S,75,54,41,305.79,-41.02,6.49,,,1,,0.72,,,,  G8-K0III,,-0.013,0.006,,,16,,,,,,,
59,36,,Psc,BD+07   27,1227,109100,2015,,,,,,,,0,11,25.7,N,7,41,5,0,16,34.1,N,8,14,24,108.28,-53.64,6.11,,,0.92,,0.66,,,,  G8II-III,,-0.02,-0.019,,,1,,,,,,,
60,,,,BD+60   21,1239,11084,,,,,,22,2,,0,11,34.6,N,60,58,39,0,16,57.1,N,61,32,0,118.83,-1.06,5.74,,,0.88,,0.59,,,,  G8III,,-0.001,-0.001,,,-4,,,,6.4,19.4,,  *
61,,,,BD-21   24,1256,166167,,,,,,,,113,0,11,38.1,S,20,45,57,0,16,42.5,S,20,12,38,72.13,-79.47,6.47,,,-0.09,,-0.48,,,,  B8III,,0.012,-0.014,,,19,V,,,,,,  *
62,,,,BD+47   50,1279,36236,2016,,,,,,,,0,11,52.3,N,47,23,31,0,17,9.1,N,47,56,51,117.01,-14.53,5.89,,,-0.09,,-0.44,,,,  B7III,,0.008,0,,,-9,V?,0,,,,,
63,24,The,And,BD+37   34,1280,53777,,,,,,,,116,0,11,51.9,N,38,7,35,0,17,5.5,N,38,40,54,115.62,-23.7,4.61,,,0.06,,0.04,,0.01,,  A2V,,-0.05,-0.019,,0.022,1,V,107,,,,,  *
64,,,,CP-79    7,1324,255652,,,,,,,,,0,12,22.8,S,79,20,7,0,16,49,S,78,46,50,305.07,-38.2,6.77,,,0.46,,0.08,,,,  F3III,,0.077,-0.043,,,-13,,,,,,,
65,,,,BD+50   46,1337,21273,,I,,,,,,AO Cas,0,12,24.8,N,50,52,39,0,17,43,N,51,25,59,117.59,-11.09,6.14,,,-0.13,,-0.97,,,,  O9IIInn,,-0.005,-0.004,,,-35,SB2O,135,,,,,  *
66,,,,BD-19   30,1343,147205,,,,,,,,,0,12,28.2,S,19,36,24,0,17,32.6,S,19,3,4,77.21,-78.78,6.45,,,0.37,,,,,,  F4IV-V,,0.015,0.003,,,-5,,,,,,,
67,,,,BD+00   28,1367,109119,2017,,,,,,,,0,12,39.5,N,1,7,58,0,17,47.7,N,1,41,20,105.89,-60.07,6.17,,,0.94,,0.73,,,,  K0II,,0.095,0.012,,,-9,,,,,,,
68,25,Sig,And,BD+35   44,1404,53798,1005,,,,,,,118,0,13,6,N,36,13,51,0,18,19.7,N,36,47,7,115.59,-25.61,4.52,,,0.05,,0.07,,0,,  A2V,,-0.063,-0.041,,0.023,-8,SB,103,,,,,  *
69,,,,BD+10   25,1419,91832,,,,,,,,,0,13,8.3,N,10,39,5,0,18,17.2,N,11,12,21,110,-50.83,6.05,,,1.03,,,,,,  K0III,,-0.036,-0.038,,,9,,,,,,,
70,26,,And,BD+42   48,1438,36256,,,,,,25,4,119,0,13,25.7,N,43,14,9,0,18,42.1,N,43,47,28,116.7,-18.68,6.11,,,-0.08,,-0.35,,,,  B8V,,0.02,-0.003,,,7,,,,4.1,6.2,,  *
71,,,,BD+30   35,1439,53803,1006,,,,,,,,0,13,24.7,N,30,57,43,0,18,38.3,N,31,31,2,114.79,-30.84,5.87,,,-0.01,,0,,,,  A0IV,,0.058,-0.006,,,-5,,53,,,,,
72,,,,BD-08   38,1461,128690,,,,,,,,,0,13,33,S,8,36,16,0,18,41.8,S,8,3,10,99.29,-69.4,6.46,,,0.68,,0.29,,,,  G0V,,0.413,-0.139,,0.053,-10,V?,,,,,,  *
73,,,,CD-43   64,1483,215047,,,,,,,,,0,13,43.7,S,43,47,28,0,18,42.6,S,43,14,7,323.2,-72.58,6.33,,,1.21,,,,,,  K2III,,0.056,0.012,,,12,,,,,,,
74,8,Iot,Cet,BD-09   48,1522,128694,9,I,,W,,,,123,0,14,19.9,S,9,22,42,0,19,25.7,S,8,49,26,98.98,-70.19,3.56,,,1.22,,1.25,,0.59,,  K1.5III,,-0.014,-0.036,,0.013,19,     <,17,,4.8,108.8,AC, 3*
75,,,,BD+39   56,1527,36269,,,,,,,,,0,14,25.9,N,40,10,29,0,19,41.6,N,40,43,47,116.46,-21.74,6.33,,,1.18,,,,,,  K1III,,-0.026,-0.01,,,-38,,,,,,,
76,,,,BD+48   79,1561,36272,,,,,,,,,0,14,46.3,N,48,18,38,0,20,5.2,N,48,51,55,117.63,-13.68,6.52,,,,,,,,,  A0V s,,0.005,-0.017,,,-3,V,57,,,,,
77,,Zet,Tuc,CP-65   13,1581,248163,10,I,',,,,,,0,14,51.7,S,65,27,45,0,20,4.3,S,64,52,29,308.35,-51.9,4.23,,,0.58,,0.02,,0.33,,  F9V,,1.705,1.164,,0.134,9,,0,,,,,
78,,,,BD+30   42,1606,53820,,,,,,,,128,0,15,10.7,N,30,22,50,0,20,24.4,N,30,56,9,115.13,-31.47,5.9,,,-0.1,,-0.46,,,,  B7V,,0.021,0.004,,,4,,125,,,,,
79,,,,BD+32   45,1632,53825,,I,,,,,,,0,15,31.6,N,32,21,24,0,20,45.5,N,32,54,41,115.53,-29.52,5.79,,,1.59,,,,1,,  K5III,,-0.026,-0.014,,,-36,,,,,,,
80,41,,Psc,BD+07   36,1635,109152,1008,I,,,,,,132,0,15,27,N,7,38,6,0,20,35.9,N,8,11,25,109.91,-53.9,5.37,,,1.34,,1.55,,,, gK3,,-0.002,0.008,,,16,,,,,,,
81,,,,BD+10   32,1663,91858,,,,,,28,7,,0,15,45.4,N,10,25,22,0,20,54.5,N,10,58,37,110.93,-51.18,6.56,,,,,,,,,  A0V,,-0.046,-0.028,D,0.005,-18,V,56,,0.2,0.6,,  *
82,27,Rho,And,BD+37   45,1671,53828,1009,,,,,,,,0,15,51.1,N,37,24,53,0,21,7.3,N,37,58,7,116.37,-24.52,5.18,,,0.42,,0.05,,,,  F5III,,0.06,-0.04,,0.017,9,,41,,,,,
83,,Pi,Tuc,CP-70   12,1685,248167,2018,,,,,,,,0,16,0.9,S,70,10,48,0,20,39,S,69,37,30,306.87,-47.27,5.51,,,-0.05,,-0.14,,,,  B9V,,-0.007,0,,0.011,12,,,,,,,
84,,Iot,Scl,CD-29   86,1737,166207,,,,,,,,,0,16,29.7,S,29,32,4,0,21,31.2,S,28,58,54,15.52,-83.15,5.18,,,1,,0.82,,,,  G5III,,0.04,-0.074,,0.027,21,,,,,,,
85,,,,BD-20   50,1760,166210,,I,,,,,,T Cet,0,16,42.6,S,20,36,45,0,21,46.3,S,20,3,28,77.51,-80.2,5.12,,,1.82,,1.78,,,,  M5IIe,,0.071,-0.005,,,29,V,,,,,,  *
86,42,,Psc,BD+12   25,1796,91866,2020,,,,,30,3,,0,17,14.9,N,12,55,38,0,22,25.5,N,13,28,57,112.19,-48.78,6.23,,,1.22,,,,,,  K3III,,0.062,0.021,,,3,V,,,4.6,28.9,,  *
87,,,,CP-78    9,1801,255663,,,,,,,,,0,17,12.7,S,77,58,54,0,21,28.6,S,77,25,37,305.04,-39.58,5.97,,,1.4,,1.4,,,,  K3III,,0.002,-0.01,,,21,V,,,,,,
88,9,,Cet,BD-13   60,1835,147237,,I,',W,,,,BE Cet,0,17,44.3,S,12,45,57,0,22,51.8,S,12,12,34,97.34,-73.64,6.39,,,0.66,,0.24,,,,  G2V,,0.394,0.061,,0.049,-7,V,6,,5.4,202.1,,  *
89,,,,CD-31  138,1909,192495,,,,,,,,,0,18,12.3,S,31,35,26,0,23,12.6,S,31,2,10,358.89,-82.7,6.55,,,0,,-0.31,,,,  B9IVMn,,0.029,-0.003,,,1,SB1,25,,,,,  *
90,,,,BD+37   58,1967,53860,,I,:,W,,,,R And,0,18,44.8,N,38,1,25,0,24,2,N,38,34,38,117.07,-23.98,7.39,,,1.97,,1.25,,2.21,,  S6.5IIIeZr6Ti2,,-0.007,-0.023,,,-11,V,,,4.9,84.6,,  *
91,,,,BD+51   62,1976,21366,,,,,,32,8,155,0,18,52.2,N,51,27,57,0,24,15.6,N,52,1,12,118.68,-10.63,5.57,,,-0.12,,-0.6,,,,  B5IV,,0.013,-0.004,D,0.004,-7,SBO,230,,2.5,0.2,,  *
92, NO,VA 1,572,,,,,,,,,,,B Cas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  *
93,12,,Cas,BD+61   69,2011,11172,,,,,,,,,0,19,16.2,N,61,16,37,0,24,47.5,N,61,49,52,119.79,-0.88,5.4,,,0,,-0.16,,,,  B9III,,0.012,-0.001,,0.015,-4,V,154,,,,,
94,,,,BD-03   49,2023,128743,2021,,,,,,,,0,19,23,S,2,46,20,0,24,29.7,S,2,13,9,107.27,-64.27,6.07,,,1.22,,1.23,,,,  K1III,,-0.033,-0.044,,,15,,,,,,,
95,47,,Tuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  *
96,,,,BD+52   61,2054,21381,2022,,,,,,,159,0,19,41.6,N,52,29,34,0,25,6.4,N,53,2,49,118.92,-9.62,5.74,,,-0.06,,-0.31,,,,  B9IV,,0.023,-0.002,,,10,V,210,,,,,  *
97,44,,Psc,BD+01   57,2114,109192,1010,,,W,,,,,0,20,16.5,N,1,23,10,0,25,24.2,N,1,56,23,109.73,-60.26,5.77,,,0.86,,0.57,,,,  G5III,,-0.013,-0.015,,,-4,     <,20,,,,,  *
98,,Bet,Hyi,CP-77   16,2151,255670,11,I,',,,,,161,0,20,30,S,77,49,3,0,25,45.1,S,77,15,15,304.81,-39.77,2.8,,,0.62,,0.11,,0.34,,  G2IV,,2.215,0.324,,0.153,23,,,,,,,  *
99,,Alp,Phe,CD-42  116,2261,215093,12,I,,A,,,,,0,21,20.5,S,42,50,56,0,26,17,S,42,18,22,320.02,-73.98,2.39,,,1.09,,0.88,,0.6,,  K0III,,0.203,-0.396,,0.035,75,SB1O,,,,0.1,,  *
100,,Kap,Phe,CD-44  101,2262,215092,,,,,,,,,0,21,17.1,S,44,14,5,0,26,12.2,S,43,40,48,318.42,-72.68,3.94,,,0.17,,0.11,,0.08,,  A7V,,0.109,0.029,,0.072,11,,219,,,,,
101,10,,Cet,BD-00   63,2273,128760,,,,,,,,Var?,0,21,29.6,S,0,36,12,0,26,37.4,S,0,2,59,109.5,-62.27,6.19,,,0.9,,0.55,,,,  G8III,,0.073,-0.001,,,-23,V,,,,,,  *
102,,,,CD-26  138,2363,166282,2025,,,,,,,,0,22,14,S,26,6,1,0,27,14.7,S,25,32,50,47.84,-84.35,5.98,,,1.03,,0.88,,,,  G8III,,0.036,-0.019,,,-3,,,,,,,
103,47,,Psc,BD+17   55,2411,91910,,I,,,,,,TV Psc,0,22,50,N,17,20,21,0,28,2.9,N,17,53,35,115.1,-44.62,5.06,,,1.65,,1.82,,1.54,,  M3III,v,0.117,0.021,,0.016,6,V,,,,,,  *
104,,,,BD+43   92,2421,36390,2027,,,,,,,,0,22,51.1,N,43,50,29,0,28,13.7,N,44,23,40,118.57,-18.28,5.17,,,0.03,,-0.01,,,,  A2V s,,0.089,-0.016,,0.013,2,SB1O,36,,,,,  *
105,,Eta,Scl,CD-33  152,2429,192545,2026,,,,,,,Eta Scl,0,22,58.2,S,33,33,33,0,27,55.7,S,33,0,26,342.36,-82.23,4.81,,,1.64,,1.81,,1.38,,  M4III,,-0.019,-0.052,,-0.014,11,,,,,,,  *
106,48,,Psc,BD+15   63,2436,91912,1012,I,,,,,,,0,23,0.9,N,15,53,32,0,28,12.7,N,16,26,42,114.89,-46.06,6.06,,,1.58,,2,,,,  K5III,,0.019,-0.015,,,-7,SB,,,,,,
107,,,,BD+09   47,2454,109224,2028,,,,,,,,0,23,9.8,N,9,38,32,0,28,20.1,N,10,11,23,113.62,-52.26,6.04,,,0.43,,-0.06,,,,  F6Va vw,,0.046,-0.207,,0.033,-10,V,8,,,,,  *
